pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,key_resp.keys,key_resp.corr,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
-150,z,6,3,27,3,,,,,184.0532336999895,185.05306740000378,185.05306740000378,185.05306740000378,185.05306740000378,185.06961479998427,186.0536948000081,186.0536948000081,z,1,0.4326168000116013,ABC,001,2022-10-04_15h42.04.551,sequential,2022.2.2,60.808497605843975,
-50,x,7,0,28,0,,,,,186.50269529997604,187.50329269998474,187.50329269998474,187.50329269998474,187.50329269998474,187.50329269998474,188.50327009998728,188.50327009998728,x,1,0.4139312000479549,ABC,001,2022-10-04_15h42.04.551,sequential,2022.2.2,60.808497605843975,
150,v,7,1,29,1,,,,,188.93563580000773,189.9265260999673,189.9265260999673,189.9265260999673,189.9265260999673,189.9472946000169,190.93388019996928,190.93388019996928,v,1,0.5079998000292107,ABC,001,2022-10-04_15h42.04.551,sequential,2022.2.2,60.808497605843975,
50,c,7,2,30,2,,,,,191.47688679996645,192.47607199999038,192.47607199999038,192.47607199999038,192.47607199999038,192.49604830000317,193.47037110000383,193.47037110000383,c,1,0.6165745999896899,ABC,001,2022-10-04_15h42.04.551,sequential,2022.2.2,60.808497605843975,
-150,z,7,3,31,3,,,,,194.12070109997876,195.11043050000444,195.11043050000444,195.11043050000444,195.11043050000444,195.130067399994,196.1069889999926,196.1069889999926,z,1,0.6474817999405786,ABC,001,2022-10-04_15h42.04.551,sequential,2022.2.2,60.808497605843975,
-50,x,8,0,32,0,,,,,196.788079299964,197.78846289997455,197.78846289997455,197.78846289997455,197.78846289997455,197.78846289997455,198.7730550999986,198.7730550999986,x,1,0.4216036000289023,ABC,001,2022-10-04_15h42.04.551,sequential,2022.2.2,60.808497605843975,
150,v,8,1,33,1,,,,,199.23704749997705,200.22318229998928,200.22318229998928,200.22318229998928,200.22318229998928,200.23962730000494,201.22409430000698,201.22409430000698,v,1,0.6184079000377096,ABC,001,2022-10-04_15h42.04.551,sequential,2022.2.2,60.808497605843975,
50,c,8,2,34,2,,,,,201.88927139999578,202.87378279998666,202.87378279998666,202.87378279998666,202.87378279998666,202.8903885000036,203.8750369999907,203.8750369999907,c,1,0.5840895000146702,ABC,001,2022-10-04_15h42.04.551,sequential,2022.2.2,60.808497605843975,
-150,z,8,3,35,3,,,,,204.49064839998027,205.49089680000907,205.49089680000907,205.49089680000907,205.49089680000907,205.49089680000907,206.4912516999757,206.4912516999757,z,1,0.5026287999935448,ABC,001,2022-10-04_15h42.04.551,sequential,2022.2.2,60.808497605843975,
-50,x,9,0,36,0,,,,,207.023248100013,208.02343910001218,208.02343910001218,208.02343910001218,208.02343910001218,208.02343910001218,209.0237433000002,209.0237433000002,x,1,0.3645088999764994,ABC,001,2022-10-04_15h42.04.551,sequential,2022.2.2,60.808497605843975,
