2.6605 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
47.6520 	EXP 	grating: ori = 0.0
47.6520 	EXP 	fixation: autoDraw = True
48.6522 	EXP 	fixation: autoDraw = False
48.6522 	EXP 	grating: autoDraw = True
48.9524 	EXP 	grating: autoDraw = False
49.1391 	EXP 	New trial (rep=18, index=0): None
49.1408 	DATA 	Keypress: up
49.1524 	EXP 	fixation: autoDraw = False
49.1524 	EXP 	grating: autoDraw = False
49.1524 	EXP 	grating: ori = 0.0
49.1524 	EXP 	fixation: autoDraw = True
50.1526 	EXP 	fixation: autoDraw = False
50.1526 	EXP 	grating: autoDraw = True
50.4526 	EXP 	grating: autoDraw = False
50.7730 	EXP 	New trial (rep=19, index=0): None
50.7748 	DATA 	Keypress: up
50.7865 	EXP 	fixation: autoDraw = False
50.7865 	EXP 	grating: autoDraw = False
50.7865 	EXP 	grating: ori = -2.0
50.7865 	EXP 	fixation: autoDraw = True
51.7864 	EXP 	fixation: autoDraw = False
51.7864 	EXP 	grating: autoDraw = True
52.0863 	EXP 	grating: autoDraw = False
52.3066 	EXP 	New trial (rep=20, index=0): None
52.3084 	DATA 	Keypress: down
52.3198 	EXP 	fixation: autoDraw = False
52.3198 	EXP 	grating: autoDraw = False
52.3198 	EXP 	grating: ori = -4.0
52.3198 	EXP 	fixation: autoDraw = True
53.3200 	EXP 	fixation: autoDraw = False
53.3200 	EXP 	grating: autoDraw = True
53.6200 	EXP 	grating: autoDraw = False
54.1402 	EXP 	New trial (rep=21, index=0): None
54.1420 	DATA 	Keypress: down
54.1535 	EXP 	fixation: autoDraw = False
54.1535 	EXP 	grating: autoDraw = False
54.1535 	EXP 	grating: ori = 0.0
54.1535 	EXP 	fixation: autoDraw = True
55.1538 	EXP 	fixation: autoDraw = False
55.1538 	EXP 	grating: autoDraw = True
55.4538 	EXP 	grating: autoDraw = False
55.8073 	EXP 	New trial (rep=22, index=0): None
55.8091 	DATA 	Keypress: up
55.8206 	EXP 	fixation: autoDraw = False
55.8206 	EXP 	grating: autoDraw = False
55.8206 	EXP 	grating: ori = 1.0
55.8206 	EXP 	fixation: autoDraw = True
56.8207 	EXP 	fixation: autoDraw = False
56.8207 	EXP 	grating: autoDraw = True
57.1209 	EXP 	grating: autoDraw = False
58.0577 	EXP 	New trial (rep=23, index=0): None
58.0594 	DATA 	Keypress: down
58.0711 	EXP 	fixation: autoDraw = False
58.0711 	EXP 	grating: autoDraw = False
58.0711 	EXP 	grating: ori = -2.0
58.0711 	EXP 	fixation: autoDraw = True
59.0714 	EXP 	fixation: autoDraw = False
59.0714 	EXP 	grating: autoDraw = True
59.3714 	EXP 	grating: autoDraw = False
60.2914 	EXP 	New trial (rep=24, index=0): None
60.2931 	DATA 	Keypress: up
60.3051 	EXP 	fixation: autoDraw = False
60.3051 	EXP 	grating: autoDraw = False
60.3051 	EXP 	grating: ori = -2.0
60.3051 	EXP 	fixation: autoDraw = True
61.3052 	EXP 	fixation: autoDraw = False
61.3052 	EXP 	grating: autoDraw = True
61.6053 	EXP 	grating: autoDraw = False
62.2085 	EXP 	New trial (rep=25, index=0): None
62.2103 	DATA 	Keypress: down
62.2222 	EXP 	fixation: autoDraw = False
62.2222 	EXP 	grating: autoDraw = False
62.2222 	EXP 	grating: ori = 4.0
62.2222 	EXP 	fixation: autoDraw = True
63.2222 	EXP 	fixation: autoDraw = False
63.2222 	EXP 	grating: autoDraw = True
63.5223 	EXP 	grating: autoDraw = False
63.9090 	EXP 	New trial (rep=26, index=0): None
63.9108 	DATA 	Keypress: down
63.9225 	EXP 	fixation: autoDraw = False
63.9225 	EXP 	grating: autoDraw = False
63.9225 	EXP 	grating: ori = 0.0
63.9225 	EXP 	fixation: autoDraw = True
64.9226 	EXP 	fixation: autoDraw = False
64.9226 	EXP 	grating: autoDraw = True
65.2227 	EXP 	grating: autoDraw = False
65.7259 	EXP 	New trial (rep=27, index=0): None
65.7277 	DATA 	Keypress: up
65.7397 	EXP 	fixation: autoDraw = False
65.7397 	EXP 	grating: autoDraw = False
65.7397 	EXP 	grating: ori = 4.0
65.7397 	EXP 	fixation: autoDraw = True
66.7399 	EXP 	fixation: autoDraw = False
66.7399 	EXP 	grating: autoDraw = True
67.0399 	EXP 	grating: autoDraw = False
68.8600 	EXP 	New trial (rep=28, index=0): None
68.8617 	DATA 	Keypress: down
68.8735 	EXP 	fixation: autoDraw = False
68.8735 	EXP 	grating: autoDraw = False
68.8735 	EXP 	grating: ori = 0.0
68.8735 	EXP 	fixation: autoDraw = True
69.8738 	EXP 	fixation: autoDraw = False
69.8738 	EXP 	grating: autoDraw = True
70.1741 	EXP 	grating: autoDraw = False
70.5935 	EXP 	New trial (rep=29, index=0): None
70.5952 	DATA 	Keypress: up
70.6073 	EXP 	fixation: autoDraw = False
70.6073 	EXP 	grating: autoDraw = False
70.6073 	EXP 	grating: ori = 0.0
70.6073 	EXP 	fixation: autoDraw = True
71.6074 	EXP 	fixation: autoDraw = False
71.6074 	EXP 	grating: autoDraw = True
71.9076 	EXP 	grating: autoDraw = False
72.3761 	DATA 	Keypress: up
72.3941 	EXP 	New trial (rep=30, index=0): None
72.4078 	EXP 	fixation: autoDraw = False
72.4078 	EXP 	grating: autoDraw = False
72.4078 	EXP 	grating: ori = 1.0
72.4078 	EXP 	fixation: autoDraw = True
73.4079 	EXP 	fixation: autoDraw = False
73.4079 	EXP 	grating: autoDraw = True
73.7080 	EXP 	grating: autoDraw = False
74.3949 	EXP 	New trial (rep=31, index=0): None
74.3966 	DATA 	Keypress: down
74.4081 	EXP 	fixation: autoDraw = False
74.4081 	EXP 	grating: autoDraw = False
74.4081 	EXP 	grating: ori = -2.0
74.4081 	EXP 	fixation: autoDraw = True
75.4086 	EXP 	fixation: autoDraw = False
75.4086 	EXP 	grating: autoDraw = True
75.7087 	EXP 	grating: autoDraw = False
76.1783 	EXP 	New trial (rep=32, index=0): None
76.1802 	DATA 	Keypress: down
76.1917 	EXP 	fixation: autoDraw = False
76.1917 	EXP 	grating: autoDraw = False
76.1917 	EXP 	grating: ori = 0.0
76.1917 	EXP 	fixation: autoDraw = True
77.1923 	EXP 	fixation: autoDraw = False
77.1923 	EXP 	grating: autoDraw = True
77.4919 	EXP 	grating: autoDraw = False
77.7290 	EXP 	New trial (rep=33, index=0): None
77.7310 	DATA 	Keypress: up
77.7423 	EXP 	fixation: autoDraw = False
77.7423 	EXP 	grating: autoDraw = False
77.7423 	EXP 	grating: ori = 3.0
77.7423 	EXP 	fixation: autoDraw = True
78.7426 	EXP 	fixation: autoDraw = False
78.7426 	EXP 	grating: autoDraw = True
79.0427 	EXP 	grating: autoDraw = False
79.3625 	EXP 	New trial (rep=34, index=0): None
79.3642 	DATA 	Keypress: down
79.3761 	EXP 	fixation: autoDraw = False
79.3761 	EXP 	grating: autoDraw = False
79.3761 	EXP 	grating: ori = 0.0
79.3761 	EXP 	fixation: autoDraw = True
80.3762 	EXP 	fixation: autoDraw = False
80.3762 	EXP 	grating: autoDraw = True
80.6762 	EXP 	grating: autoDraw = False
81.0627 	EXP 	New trial (rep=35, index=0): None
81.0645 	DATA 	Keypress: up
81.0765 	EXP 	fixation: autoDraw = False
81.0765 	EXP 	grating: autoDraw = False
81.0765 	EXP 	grating: ori = 0.0
81.0765 	EXP 	fixation: autoDraw = True
82.0766 	EXP 	fixation: autoDraw = False
82.0766 	EXP 	grating: autoDraw = True
82.3768 	EXP 	grating: autoDraw = False
82.7966 	EXP 	New trial (rep=36, index=0): None
82.7983 	DATA 	Keypress: up
82.8101 	EXP 	fixation: autoDraw = False
82.8101 	EXP 	grating: autoDraw = False
82.8101 	EXP 	grating: ori = 0.0
82.8101 	EXP 	fixation: autoDraw = True
83.8103 	EXP 	fixation: autoDraw = False
83.8103 	EXP 	grating: autoDraw = True
84.1106 	EXP 	grating: autoDraw = False
84.4804 	EXP 	New trial (rep=37, index=0): None
84.4821 	DATA 	Keypress: up
84.4938 	EXP 	fixation: autoDraw = False
84.4938 	EXP 	grating: autoDraw = False
84.4938 	EXP 	grating: ori = 0.0
84.4938 	EXP 	fixation: autoDraw = True
85.4943 	EXP 	fixation: autoDraw = False
85.4943 	EXP 	grating: autoDraw = True
85.7941 	EXP 	grating: autoDraw = False
86.0810 	EXP 	New trial (rep=38, index=0): None
86.0831 	DATA 	Keypress: up
86.0941 	EXP 	fixation: autoDraw = False
86.0941 	EXP 	grating: autoDraw = False
86.0941 	EXP 	grating: ori = 0.0
86.0941 	EXP 	fixation: autoDraw = True
87.0945 	EXP 	fixation: autoDraw = False
87.0945 	EXP 	grating: autoDraw = True
87.3946 	EXP 	grating: autoDraw = False
87.9309 	EXP 	New trial (rep=39, index=0): None
87.9326 	DATA 	Keypress: up
87.9449 	EXP 	fixation: autoDraw = False
87.9449 	EXP 	grating: autoDraw = False
87.9449 	EXP 	grating: ori = 0.0
87.9449 	EXP 	fixation: autoDraw = True
88.9449 	EXP 	fixation: autoDraw = False
88.9449 	EXP 	grating: autoDraw = True
89.2450 	EXP 	grating: autoDraw = False
89.6151 	EXP 	New trial (rep=40, index=0): None
89.6172 	DATA 	Keypress: up
89.6284 	EXP 	fixation: autoDraw = False
89.6284 	EXP 	grating: autoDraw = False
89.6284 	EXP 	grating: ori = 0.0
89.6284 	EXP 	fixation: autoDraw = True
90.6285 	EXP 	fixation: autoDraw = False
90.6285 	EXP 	grating: autoDraw = True
90.9286 	EXP 	grating: autoDraw = False
91.3985 	EXP 	New trial (rep=41, index=0): None
91.4004 	DATA 	Keypress: up
91.4123 	EXP 	fixation: autoDraw = False
91.4123 	EXP 	grating: autoDraw = False
91.4123 	EXP 	grating: ori = 0.0
91.4123 	EXP 	fixation: autoDraw = True
92.4124 	EXP 	fixation: autoDraw = False
92.4124 	EXP 	grating: autoDraw = True
92.7126 	EXP 	grating: autoDraw = False
93.0825 	EXP 	New trial (rep=42, index=0): None
93.0842 	DATA 	Keypress: up
93.0958 	EXP 	fixation: autoDraw = False
93.0958 	EXP 	grating: autoDraw = False
93.0958 	EXP 	grating: ori = 0.0
93.0958 	EXP 	fixation: autoDraw = True
94.0961 	EXP 	fixation: autoDraw = False
94.0961 	EXP 	grating: autoDraw = True
94.3961 	EXP 	grating: autoDraw = False
94.7496 	EXP 	New trial (rep=43, index=0): None
94.7514 	DATA 	Keypress: up
94.7628 	EXP 	fixation: autoDraw = False
94.7628 	EXP 	grating: autoDraw = False
94.7628 	EXP 	grating: ori = 3.0
94.7628 	EXP 	fixation: autoDraw = True
95.7633 	EXP 	fixation: autoDraw = False
95.7633 	EXP 	grating: autoDraw = True
96.0632 	EXP 	grating: autoDraw = False
96.4333 	EXP 	New trial (rep=44, index=0): None
96.4352 	DATA 	Keypress: down
96.4467 	EXP 	fixation: autoDraw = False
96.4467 	EXP 	grating: autoDraw = False
96.4467 	EXP 	grating: ori = 0.0
96.4467 	EXP 	fixation: autoDraw = True
97.4468 	EXP 	fixation: autoDraw = False
97.4468 	EXP 	grating: autoDraw = True
97.7469 	EXP 	grating: autoDraw = False
