2.9246 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
52.4475 	EXP 	window1: recordFrameIntervals = False
53.4440 	EXP 	fixation: autoDraw = True
54.4464 	EXP 	fixation: autoDraw = False
54.4464 	EXP 	grating: autoDraw = True
54.4464 	EXP 	grating: tex = 'sin'
54.7491 	EXP 	window1: recordFrameIntervals = False
54.7506 	DATA 	Keypress: left
54.7626 	EXP 	grating: autoDraw = False
54.7626 	EXP 	fixation: autoDraw = False
54.7626 	EXP 	grating: autoDraw = False
54.7628 	EXP 	window1: recordFrameIntervals = False
55.7620 	EXP 	fixation: autoDraw = True
56.7619 	EXP 	fixation: autoDraw = False
56.7619 	EXP 	grating: autoDraw = True
56.7619 	EXP 	grating: tex = 'sin'
57.0469 	EXP 	window1: recordFrameIntervals = False
57.0478 	DATA 	Keypress: right
57.0619 	EXP 	grating: autoDraw = False
57.0619 	EXP 	fixation: autoDraw = False
57.0619 	EXP 	grating: autoDraw = False
57.0621 	EXP 	window1: recordFrameIntervals = False
58.0596 	EXP 	fixation: autoDraw = True
59.0513 	EXP 	grating: autoDraw = True
59.0513 	EXP 	grating: tex = 'sin'
59.0655 	EXP 	fixation: autoDraw = False
59.3634 	EXP 	grating: autoDraw = False
59.5670 	EXP 	window1: recordFrameIntervals = False
59.5684 	DATA 	Keypress: right
59.5797 	EXP 	fixation: autoDraw = False
59.5797 	EXP 	grating: autoDraw = False
59.5799 	EXP 	window1: recordFrameIntervals = False
60.5821 	EXP 	fixation: autoDraw = True
61.5676 	EXP 	grating: autoDraw = True
61.5676 	EXP 	grating: tex = 'sin'
61.5828 	EXP 	fixation: autoDraw = False
61.8819 	EXP 	grating: autoDraw = False
62.0539 	EXP 	window1: recordFrameIntervals = False
62.0561 	DATA 	Keypress: right
62.0660 	EXP 	fixation: autoDraw = False
62.0660 	EXP 	grating: autoDraw = False
62.0663 	EXP 	window1: recordFrameIntervals = False
63.0654 	EXP 	fixation: autoDraw = True
64.0672 	EXP 	fixation: autoDraw = False
64.0672 	EXP 	grating: autoDraw = True
64.0672 	EXP 	grating: tex = 'sin'
64.3664 	EXP 	grating: autoDraw = False
64.5378 	EXP 	window1: recordFrameIntervals = False
64.5402 	DATA 	Keypress: left
64.5516 	EXP 	fixation: autoDraw = False
64.5516 	EXP 	grating: autoDraw = False
64.5520 	EXP 	window1: recordFrameIntervals = False
65.5472 	EXP 	fixation: autoDraw = True
66.5486 	EXP 	fixation: autoDraw = False
66.5486 	EXP 	grating: autoDraw = True
66.5486 	EXP 	grating: tex = 'sin'
66.8639 	EXP 	grating: autoDraw = False
66.9324 	EXP 	window1: recordFrameIntervals = False
66.9334 	DATA 	Keypress: right
66.9473 	EXP 	fixation: autoDraw = False
66.9473 	EXP 	grating: autoDraw = False
66.9475 	EXP 	window1: recordFrameIntervals = False
67.9455 	EXP 	fixation: autoDraw = True
68.9317 	EXP 	grating: autoDraw = True
68.9317 	EXP 	grating: tex = 'sin'
68.9481 	EXP 	fixation: autoDraw = False
69.2317 	EXP 	grating: autoDraw = False
69.3843 	EXP 	window1: recordFrameIntervals = False
69.3855 	DATA 	Keypress: left
69.4012 	EXP 	fixation: autoDraw = False
69.4012 	EXP 	grating: autoDraw = False
69.4014 	EXP 	window1: recordFrameIntervals = False
70.3959 	EXP 	fixation: autoDraw = True
71.3986 	EXP 	fixation: autoDraw = False
71.3986 	EXP 	grating: autoDraw = True
71.3986 	EXP 	grating: tex = 'sin'
71.6983 	EXP 	grating: autoDraw = False
71.8003 	EXP 	window1: recordFrameIntervals = False
71.8012 	DATA 	Keypress: right
71.8157 	EXP 	fixation: autoDraw = False
71.8157 	EXP 	grating: autoDraw = False
71.8159 	EXP 	window1: recordFrameIntervals = False
72.8035 	EXP 	fixation: autoDraw = True
73.7996 	EXP 	grating: autoDraw = True
73.7996 	EXP 	grating: tex = 'sin'
73.8167 	EXP 	fixation: autoDraw = False
74.1003 	EXP 	grating: autoDraw = False
74.2727 	EXP 	window1: recordFrameIntervals = False
74.2746 	DATA 	Keypress: right
74.2841 	EXP 	fixation: autoDraw = False
74.2841 	EXP 	grating: autoDraw = False
74.2844 	EXP 	window1: recordFrameIntervals = False
75.2828 	EXP 	fixation: autoDraw = True
76.2829 	EXP 	fixation: autoDraw = False
76.2829 	EXP 	grating: autoDraw = True
76.2829 	EXP 	grating: tex = 'sin'
76.5828 	EXP 	grating: autoDraw = False
76.6517 	EXP 	window1: recordFrameIntervals = False
76.6527 	DATA 	Keypress: left
76.6662 	EXP 	fixation: autoDraw = False
76.6662 	EXP 	grating: autoDraw = False
76.6664 	EXP 	window1: recordFrameIntervals = False
77.6667 	EXP 	fixation: autoDraw = True
78.6669 	EXP 	fixation: autoDraw = False
78.6669 	EXP 	grating: autoDraw = True
78.6669 	EXP 	grating: tex = 'sin'
78.9669 	EXP 	grating: autoDraw = False
78.9860 	EXP 	window1: recordFrameIntervals = False
78.9870 	DATA 	Keypress: right
79.0000 	EXP 	fixation: autoDraw = False
79.0000 	EXP 	grating: autoDraw = False
79.0002 	EXP 	window1: recordFrameIntervals = False
79.9990 	EXP 	fixation: autoDraw = True
80.9838 	EXP 	grating: autoDraw = True
80.9838 	EXP 	grating: tex = 'sin'
81.0005 	EXP 	fixation: autoDraw = False
81.2839 	EXP 	grating: autoDraw = False
81.3698 	EXP 	window1: recordFrameIntervals = False
81.3707 	DATA 	Keypress: left
81.3840 	EXP 	fixation: autoDraw = False
81.3840 	EXP 	grating: autoDraw = False
81.3842 	EXP 	window1: recordFrameIntervals = False
82.3818 	EXP 	fixation: autoDraw = True
83.3712 	EXP 	grating: autoDraw = True
83.3712 	EXP 	grating: tex = 'sin'
